# Start time is 15:33:33
# 
# GATEvoltage, BIASvoltage, Current, Real-LI, Imag-LI
# mV, mV, nA, V, V
# Comments: bias = 0mV; lockin freq = 73.24; lockin V = 500mV-Rms, tau = 300ms, 1MV/A
# 
-2400.0915541 0.0305180 0.0002678 -0.000000099959293 0.000000082292604
-2379.9496452 0.0305180 0.0002681 -0.000000108881334 0.000000197000374
-2360.1129168 0.0305180 0.0002667 -0.000000018057310 -0.000000560376944
-2339.9710079 0.0305180 0.0002650 -0.000000038957644 0.000000105937865
-2320.1342794 0.0305180 0.0002699 0.000000127257016 0.000000078387559
-2299.9923705 0.0305180 0.0002689 -0.000000029263169 0.000000157064707
-2279.8504616 0.0305180 0.0002676 -0.000000080828800 -0.000000329417126
-2260.0137331 0.0305180 0.0002710 -0.000000427889117 -0.000000252318913
-2239.8718242 0.0305180 0.0002687 0.000000014094700 0.000000184325424
-2220.0350958 0.0305180 0.0002707 0.000000328386236 -0.000000115612368
-2199.8931868 0.0305180 0.0002706 -0.000000029399446 -0.000000038316789
-2180.0564584 0.0305180 0.0002740 -0.000000499556215 -0.000000261237430
-2159.9145495 0.0305180 0.0002750 -0.000000486198705 -0.000000106628649
-2140.0778210 0.0305180 0.0002724 -0.000000024170985 -0.000000367258119
-2119.9359121 0.0305180 0.0002719 0.000000093874988 -0.000000178236420
-2100.0991836 0.0305180 0.0002750 0.000000316154774 -0.000000235942158
-2079.9572747 0.0305180 0.0002742 -0.000000157969305 -0.000000110403879
-2060.1205463 0.0305180 0.0002756 -0.000000004958256 0.000000071722314
-2039.9786374 0.0305180 0.0002747 -0.000000180885013 0.000000063810015
-2020.1419089 0.0305180 0.0002741 0.000000164996390 -0.000000107582002
-2000.0000000 0.0305180 0.0002724 0.000000133464088 -0.000000201400012
-1979.8580911 0.0305180 0.0002756 -0.000000211411096 -0.000000432152478
-1960.0213626 0.0305180 0.0002764 0.000000095111468 -0.000000090307111
-1939.8794537 0.0305180 0.0002742 0.000000049685946 -0.000000068502766
-1920.0427253 0.0305180 0.0002757 0.000000003605471 -0.000000141999032
-1899.9008164 0.0305180 0.0002744 -0.000000207212937 -0.000000108830230
-1880.0640879 0.0305180 0.0002764 0.000000307539356 0.000000008438023
-1859.9221790 0.0305180 0.0002773 0.000000168429751 -0.000000234471892
-1840.0854505 0.0305180 0.0002768 0.000000085372938 -0.000000116583931
-1819.9435416 0.0305180 0.0002749 -0.000000077205707 -0.000000100298811
-1800.1068132 0.0305180 0.0002746 -0.000000086619991 -0.000000115166531
-1779.9649042 0.0305180 0.0002760 -0.000000162563372 -0.000000149466668
-1760.1281758 0.0305180 0.0002768 0.000000025979595 0.000000072722659
-1739.9862669 0.0305180 0.0002742 -0.000000312810697 -0.000000611614217
-1720.1495384 0.0305180 0.0002740 -0.000000414936914 -0.000000082759588
-1700.0076295 0.0305180 0.0002673 -0.000000376940846 -0.000000530162772
-1679.8657206 0.0305180 0.0002730 -0.000000343200502 -0.000000090601986
-1660.0289921 0.0305180 0.0002740 -0.000000355557081 0.000000306039132
-1639.8870832 0.0305180 0.0002695 -0.000000277613598 0.000000131047518
-1620.0503548 0.0305180 0.0002746 -0.000000174648571 0.000000160855796
-1599.9084459 0.0305180 0.0002718 -0.000000204190756 -0.000000178217036
-1580.0717174 0.0305180 0.0002628 -0.000000379339207 -0.000000029829424
-1559.9298085 0.0305180 0.0002729 -0.000000822754521 -0.000000390530380
-1540.0930800 0.0305180 0.0002731 -0.000001120942445 -0.000000467596873
-1519.9511711 0.0305180 0.0002578 -0.000001101690947 -0.000000284149027
-1500.1144427 0.0305180 0.0002669 -0.000000824390434 -0.000000130339699
-1479.9725338 0.0305180 0.0002693 -0.000002831291217 0.000000237334888
-1460.1358053 0.0305180 0.0002412 -0.000001761419223 0.000000153206654
-1439.9938964 0.0305180 0.0002279 -0.000002225324278 0.000000024027659
-1419.8519875 0.0305180 0.0002447 -0.000003628005641 -0.000000123199834
-1400.0152590 0.0305180 0.0002120 -0.000004489674338 -0.000000336361974
-1379.8733501 0.0305180 0.0002111 -0.000005502264110 -0.000000910875911
-1360.0366217 0.0305180 0.0002255 -0.000004210790779 0.000000312411264
-1339.8947127 0.0305180 0.0002388 -0.000003823982174 -0.000000454613537
-1320.0579843 0.0305180 0.0002680 -0.000003963114687 0.000000132808548
-1299.9160754 0.0305180 0.0002415 -0.000004126167953 -0.000000081956023
-1280.0793469 0.0305180 0.0002508 -0.000003180906731 0.000000031781947
-1259.9374380 0.0305180 0.0002566 -0.000005254486985 0.000000807863305
-1240.1007095 0.0305180 0.0002325 -0.000004424109167 0.000000317953397
-1219.9588006 0.0305180 0.0002622 -0.000003119853979 0.000000305695502
-1200.1220722 0.0305180 0.0002734 -0.000003656999193 -0.000000002398360
-1179.9801633 0.0305180 0.0002153 -0.000003801932296 -0.000000325831039
-1160.1434348 0.0305180 0.0001694 -0.000007143512141 -0.000000698519098
-1140.0015259 0.0305180 0.0001160 -0.000008472669043 -0.000000430098922
-1119.8596170 0.0305180 0.0002223 -0.000009299525976 0.000000028212308
-1100.0228885 0.0305180 0.0001461 -0.000009996898467 0.000000381269408
-1079.8809796 0.0305180 0.0002013 -0.000009815678634 -0.000001840988047
-1060.0442512 0.0305180 0.0000946 -0.000009654416944 0.000001055189892
-1039.9023423 0.0305180 0.0001703 -0.000011424535584 -0.000001611580143
-1020.0656138 0.0305180 0.0000477 -0.000013785134321 -0.000000020944976
-999.9237049 0.0305180 0.0001842 -0.000012217130561 0.000001188151752
-980.0869764 0.0305180 0.0001846 -0.000011367084190 0.000000038668642
-959.9450675 0.0305180 0.0002191 -0.000010034651938 -0.000000936748598
-940.1083391 0.0305180 0.0000941 -0.000011165075630 0.000000209625395
-919.9664302 0.0305180 0.0002041 -0.000012648020125 -0.000000249645649
-900.1297017 0.0305180 0.0001314 -0.000010347154836 0.000000455568065
