# Start time is 12:34:26
# 
# Heater-output, Time, TempMXC, TempProbe
# % ,s, K ,K 
# Comments: Exercise 3, step alike
0.000000000000000000e+00 1.634122644649906635e+09 1.567819999999999978e-02 2.216310000000000155e-02
0.000000000000000000e+00 1.634122654707650423e+09 1.561970000000000025e-02 2.202470000000000122e-02
0.000000000000000000e+00 1.634122664746791840e+09 1.556349999999999921e-02 2.202590000000000103e-02
0.000000000000000000e+00 1.634122674795582771e+09 1.553719999999999928e-02 2.186820000000000083e-02
0.000000000000000000e+00 1.634122684826073885e+09 1.526729999999999927e-02 2.186130000000000018e-02
0.000000000000000000e+00 1.634122694859551907e+09 1.518599999999999985e-02 2.169019999999999976e-02
0.000000000000000000e+00 1.634122704899729967e+09 1.502200000000000063e-02 2.168170000000000167e-02
0.000000000000000000e+00 1.634122714935937643e+09 1.502260000000000054e-02 2.150509999999999922e-02
0.000000000000000000e+00 1.634122724995642185e+09 1.481400000000000078e-02 2.151020000000000015e-02
0.000000000000000000e+00 1.634122735041579485e+09 1.483019999999999998e-02 2.137479999999999936e-02
0.000000000000000000e+00 1.634122745089642525e+09 1.467970000000000039e-02 2.136189999999999964e-02
0.000000000000000000e+00 1.634122755146302700e+09 1.462970000000000069e-02 2.126180000000000084e-02
0.000000000000000000e+00 1.634122765206198454e+09 1.459839999999999922e-02 2.127839999999999940e-02
0.000000000000000000e+00 1.634122775257277727e+09 1.457070000000000067e-02 2.117139999999999994e-02
0.000000000000000000e+00 1.634122785318383455e+09 1.443140000000000048e-02 2.116279999999999897e-02
0.000000000000000000e+00 1.634122795364724636e+09 1.441609999999999940e-02 2.105670000000000111e-02
0.000000000000000000e+00 1.634122805409341812e+09 1.418059999999999980e-02 2.107449999999999948e-02
0.000000000000000000e+00 1.634122815463134050e+09 1.413909999999999993e-02 2.088249999999999829e-02
0.000000000000000000e+00 1.634122825508964539e+09 1.408900000000000083e-02 2.088570000000000010e-02
0.000000000000000000e+00 1.634122835552943707e+09 1.410540000000000058e-02 2.083909999999999929e-02
0.000000000000000000e+00 1.634122845595087290e+09 1.400239999999999992e-02 2.082840000000000039e-02
0.000000000000000000e+00 1.634122855645564318e+09 1.396840000000000061e-02 2.080049999999999955e-02
0.000000000000000000e+00 1.634122865713450670e+09 1.388810000000000044e-02 2.075420000000000043e-02
0.000000000000000000e+00 1.634122875745483160e+09 1.388600000000000077e-02 2.066089999999999940e-02
0.000000000000000000e+00 1.634122885818271399e+09 1.374079999999999920e-02 2.063829999999999831e-02
